,label,article
545,Education,"Hungary has a tax-funded universal healthcare system, organized by the state-owned National Health Insurance Fund (Hungarian: Nemzeti Egészségbiztosítási Alapkezelő (NEAK)). While the healthcare is considered universal, several reasons can prevent Hungarian nationals to benefit from healthcare. For instance, a Hungarian citizen lived abroad but cannot show contribution to another country's healthcare on return to Hungary will not be denied ""universal"" healthcare regardless of the circumstances (such as pregnancy) until the start of employment or such proof of contribution is provided. However, to the OECD, 100% of the total population is covered by universal health insurance, which is absolutely free for children (all people under 16), mothers or fathers with baby, students, pensioners (everyone over 62), people with low income, handicapped people (including physical and mental disorders), priests and other church employees. Health in Hungary can be described with a rapidly increasing life expectancy (7.48 years for men and 4.92 years for women between 1993 and 2013) and a very low infant mortality rate (4.6 per 1,000 live births in 2014). According to the OECD Hungary spent 7.8% of its GDP on health care in 2012. Total health expenditure was $US1,688.7 per capita in 2011, US$1,098.3governmental-fund (65%) and US$590.4 private-fund (35%).Doctors' pay is the lowest from among the OECD countries. General practitioners are paid 1.4 times the average wage and hospital specialists 1.6 times."
546,Health For All,"The Caribbean Public Health Agency (CARPHA) is a regional public health agency headquartered in Trinidad and Tobago which was established by CARICOM leaders in July 2011 and began operation in 2013.CARPHA combines the functions of five pre-existing regional health institutions:
The Caribbean Environmental Health Institute (CEHI)
The Caribbean Epidemiology Centre (CAREC)
The Caribbean Food and Nutrition Institute (CFNI)
The Caribbean Health Research Centre (CHRC)
The Caribbean Research and Drug Treatment Laboratory (CRDTL)"
547,Roundworm,"The Global Network for Neglected Tropical Diseases is an advocacy initiative of the Sabin Vaccine Institute dedicated to raising the awareness, political will, and funding necessary to control and eliminate the most common Neglected Tropical Diseases (NTDs)—a group of disabling, disfiguring, and deadly diseases affecting more than 1.4 billion people worldwide living on less than $1.25 a day.
The Global Network provides an advocacy platform for the broad NTD community that reaches the attention of policymakers, philanthropists, thought leaders, and the general public. Through that platform, the Global Network highlights the work—including implementation, research, advocacy, and policy efforts—of the NTD community at the local, national, and international levels.
The Global Network collaborates closely with the World Health Organization and other technical agencies, NGOs, donors, and the broader public health community; together they support international organizations, governments, and afflicted communities that work through regional strategies to advocate for and implement NTD control and elimination programs."
548,Public health in Hungary,"Patriarchy is a social system in which men hold primary power and predominate in roles of political leadership, moral authority, social privilege and control of property. Some patriarchal societies are also patrilineal, meaning that property and title are inherited by the male lineage.
Patriarchy is associated with a set of ideas, a patriarchal ideology that acts to explain and justify this dominance and attributes it to inherent natural differences between men and women. Sociologists hold varied opinions on whether patriarchy is a social product or an outcome of innate differences between the sexes.Historically, patriarchy has manifested itself in the social, legal, political, religious, and economic organization of a range of different cultures. Most contemporary societies are, in practice, patriarchal.

"
549,Caribbean Public Health Agency,"Personality psychology is a branch of psychology that studies personality and its variation among individuals. It aims to show how people are individually different due to psychological forces. Its areas of focus include:

construction of a coherent picture of the individual and their major psychological processes
investigation of individual psychological differences
investigation of human nature and psychological similarities between individuals""Personality"" is a dynamic and organized set of characteristics possessed by a person that uniquely influences their environment, cognition, emotions, motivations, and behaviors in various situations. The word personality originates from the Latin persona, which means ""mask"".
Personality also refers to the pattern of thoughts, feelings, social adjustments, and behaviors consistently exhibited over time that strongly influences one's expectations, self-perceptions, values, and attitudes. Personality also predicts human reactions to other people, problems, and stress. Gordon Allport (1937) described two major ways to study personality: the nomothetic and the idiographic. Nomothetic psychology seeks general laws that can be applied to many different people, such as the principle of self-actualization or the trait of extraversion. Idiographic psychology is an attempt to understand the unique aspects of a particular individual.
The study of personality has a broad and varied history in psychology, with an abundance of theoretical traditions. The major theories include dispositional (trait) perspective, psychodynamic, humanistic, biological, behaviorist, evolutionary, and social learning perspective. However, many researchers and psychologists do not explicitly identify themselves with a certain perspective and instead take an eclectic approach. Research in this area is empirically driven — such as dimensional models, based on multivariate statistics such as factor analysis — or emphasizes theory development, such as that of the psychodynamic theory. There is also a substantial emphasis on the applied field of personality testing. In psychological education and training, the study of the nature of personality and its psychological development is usually reviewed as a prerequisite to courses in abnormal psychology or clinical psychology."
550,Global Network for Neglected Tropical Diseases,"Fever, also referred to as pyrexia, is defined as having a temperature above the normal range due to an increase in the body's temperature set point. There is not a single agreed-upon upper limit for normal temperature with sources using values between 37.2 and 38.3 °C (99.0 and 100.9 °F) in humans. The increase in set point triggers increased muscle contractions and causes a feeling of cold or chills. This results in greater heat production and efforts to conserve heat. When the set point temperature returns to normal, a person feels hot, becomes flushed, and may begin to sweat. Rarely a fever may trigger a febrile seizure, with this being more common in young children. Fevers do not typically go higher than 41 to 42 °C (105.8 to 107.6 °F).A fever can be caused by many medical conditions ranging from non-serious to life-threatening. This includes viral, bacterial, and parasitic infections—such as influenza, the common cold, meningitis, urinary tract infections, appendicitis, COVID-19, and malaria. Non-infectious causes include vasculitis, deep vein thrombosis, connective tissue disease, side effects of medication, and cancer. It differs from hyperthermia, in that hyperthermia is an increase in body temperature over the temperature set point, due to either too much heat production or not enough heat loss.Treatment to reduce fever is generally not required. Treatment of associated pain and inflammation, however, may be useful and help a person rest. Medications such as ibuprofen or paracetamol (acetaminophen) may help with this as well as lower temperature. Measures such as putting a cool damp cloth on the forehead and having a slightly warm bath are not useful and may simply make a person more uncomfortable. Children younger than three months require medical attention, as might people with serious medical problems such as a compromised immune system or people with other symptoms. Hyperthermia does require treatment.Fever is one of the most common medical signs. It is part of about 30% of healthcare visits by children and occurs in up to 75% of adults who are seriously sick. While fever evolved as a defense mechanism, treating fever does not appear to worsen outcomes. Fever is often viewed with greater concern by parents and healthcare professionals than is usually deserved, a phenomenon known as fever phobia."
551,Patriarchy,"Dracunculus medinensis, or Guinea worm, is a nematode that causes dracunculiasis, also known as guinea worm disease. The disease is caused by the female which, at up to 80 centimetres (31 inches) in length, is among the longest nematodes infecting humans. In contrast, the longest recorded male Guinea worm is only 4 cm (1+1⁄2 in).Guinea worm is on target to be the second infectious disease to be eradicated. It was formerly endemic to a wide swath of Africa and Eurasia; as of 2021, it remains endemic in five countries: Chad, Ethiopia, Mali, South Sudan and Angola, with most cases in Chad and Ethiopia. Guinea worm spread to Angola in ca. 2018, and it is now considered endemic there. Infection of domestic dogs is a serious complication in Chad. 
The common name ""guinea worm"" is derived from the Guinea region of Western Africa."
552,Personality psychology,"The Organisation for Economic Co-operation and Development (OECD; French: Organisation de Coopération et de Développement Économiques, OCDE) is an intergovernmental economic organisation with 38 member countries, founded in 1961 to stimulate economic progress and world trade. It is a forum of countries describing themselves as committed to democracy and the market economy, providing a platform to compare policy experiences, seek answers to common problems, identify good practices and coordinate domestic and international policies of its members. Generally, OECD members are high-income economies with a very high Human Development Index (HDI) and are regarded as developed countries. As of 2017, the OECD member countries collectively comprised 62.2 % of global nominal GDP (US$49.6 trillion) and 42.8 % of global GDP (Int$54.2 trillion) at purchasing power parity. The OECD is an official United Nations observer.In 1948, the OECD originated as the Organisation for European Economic Co-operation (OEEC), led by Robert Marjolin of France, to help administer the Marshall Plan (which was rejected by the Soviet Union and its satellite states). This would be achieved by allocating United States financial aid and implementing economic programs for the reconstruction of Europe after World War II.In 1961, the OEEC was reformed into the Organisation for Economic Co-operation and Development and membership was extended to non-European states. The OECD's headquarters are at the Château de la Muette in Paris, France. The OECD is funded by contributions from member countries at varying rates and had a total budget of €386 million in 2019.Although the OECD does not have the power to enforce its decisions, which further require a unanimous vote from its members, it is recognised as a highly influential publisher of mostly economic data through publications as well as annual evaluations and rankings of member countries."
553,Fever in children,"Cultural assimilation is the process in which a minority group or culture comes to resemble a society's majority group or assume the values, behaviors, and beliefs of another group whether fully or partially. There are different forms of cultural assimilation. Some types of cultural assimilation resemble acculturation in which a minority group or culture completely assimilates into the dominant culture in which defining characteristics of the minority culture are less obverse or outright disappear; while in other types of cultural assimilation such as cultural integration mostly found in multicultural communities, a minority group within a given society adopts aspects of the dominant culture through either cultural diffusion or for practical reason like adapting to another society's social norms while retaining their original culture. A conceptualization describes cultural assimilation as similar to acculturation while another merely considers the former as one of the latter's phases. Throughout history there have been different forms of cultural assimilation examples of types of acculturation include voluntary and involuntary assimilation. Assimilation could also involve the so-called additive acculturation wherein, instead of replacing the ancestral culture, an individual expands their existing cultural repertoire.

"
554,Dracunculus medinensis,"Housing, or more generally living spaces, refers to the construction and assigned usage of houses or buildings collectively, for the purpose of sheltering people — the planning or provision delivered by an authority, with related meanings. Ensuring that members of society have a home in which to live, whether this is a house, or some other kind of dwelling, lodging, or shelter, is a social issue. Many governments have one or more housing authorities, sometimes also called a housing ministry, or housing department."
555,OECD,"The Humane League (THL) is an international nonprofit organization that works to end the abuse of animals raised for food through institutional and individual change, including online advertising, Meatless Monday campaigns, and corporate outreach. It creates reports through The Humane League Labs, which evaluates advocacy presentation and methods and publishes them as reports. One of these reports includes a study showing how distributing leaflets at colleges affects diet change. It was founded in 2005 in Philadelphia by Nick Cooney.In February 2016, THL was awarded a $1 million grant from the Open Philanthropy Project (a spinoff of GiveWell working in collaboration with Good Ventures) for its corporate cage-free campaign. This was followed by an additional grant of $1 million in July 2016 for international expansion of cage-free advocacy, and a $1 million grant in November 2016 for general support."
556,Cultural assimilation,"Vaginal yeast infection, also known as candidal vulvovaginitis and vaginal thrush, is excessive growth of yeast in the vagina that results in irritation. The most common symptom is vaginal itching, which may be severe. Other symptoms include burning with urination, a thick, white vaginal discharge that typically does not smell bad, pain during  sex, and redness around the vagina. Symptoms often worsen just before a woman's period.Vaginal yeast infections are due to excessive growth of Candida. These yeast are normally present in the vagina in small numbers. Vaginal yeast infections are typically caused by the yeast species Candida albicans. Candida albicans is a common fungus often harbored in the mouth, digestive tract, or vagina without causing adverse symptoms. The causes of excessive Candida growth are not well understood, but some predisposing factors have been identified.
It is not classified as a sexually transmitted infection; however, it may occur more often in those who are frequently sexually active. Risk factors include taking antibiotics, pregnancy, diabetes, and HIV/AIDS. Tight clothing, type of underwear, and personal hygiene do not appear to be factors. Diagnosis is by testing a sample of vaginal discharge. As symptoms are similar to that of the sexually transmitted infections, chlamydia and gonorrhea, testing may be recommended.Treatment is with an antifungal medication. This may be either as a cream such as clotrimazole or with oral medications such as fluconazole. Despite the lack of evidence, wearing cotton underwear and loose fitting clothing is often recommended as a preventive measure. Avoiding douching and scented hygiene products is also recommended.  Probiotics have not been found to be useful for active infections.Around 75% of women have at least one vaginal yeast infection at some point in their lives, while nearly half have at least two. Around  5% have more than three infections in a single year. It is the second most common cause of vaginal inflammation after bacterial vaginosis."
557,Housing,"A repetitive strain injury (RSI) is an injury to part of the musculoskeletal or nervous system caused by repetitive use, vibrations, compression or long periods in a fixed position.  Other common names include repetitive stress disorders, cumulative trauma disorders (CTDs), and overuse syndrome.

"
558,The Humane League,"Digital redlining is the practice of creating and perpetuating inequities between already marginalized groups specifically through the use of digital technologies, digital content, and the internet. The concept of digital redlining is an extension of the practice of redlining in housing discrimination, a historical legal practice in the United States and Canada dating back to the 1930s where red lines were drawn on maps to indicate poor and primarily black neighborhoods that were deemed unsuitable for loans or further development, which created great economic disparities between neighborhoods. Dr. Chris Gilliard, a privacy scholar, defined digital redlining as ""the creation and maintenance of tech practices, policies, pedagogies, and investment decisions that enforce class boundaries and discriminate against specific groups"".Though digital redlining is related to the digital divide and techniques such as weblining and personalization, it is distinct from these concepts as part of larger complex systemic issues. It can refer to practices that create inequities of access to technology services in geographical areas, such as when internet service providers decide to not service specific geographic areas because they are perceived to be not as profitable and thus reduce access to crucial services and civic participation. It can also be used to refer to inequities caused by the policies and practices of digital technologies. For instance, with these methods inequities are accomplished through divisions that are created via algorithms which are hidden from the technology user; the use of big data and analytics allow for a much more nuanced form of discrimination that can target specific vulnerable populations. These algorithmic means are enabled through the use of unregulated data technologies that apply a score to individuals that statistically categorize personality traits or tendencies which are similar to a credit score but are proprietary to the technology companies and not under outside oversight."
559,Vaginal thrush,"Canada is a country in North America. Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean, covering 9.98 million square kilometres (3.85 million square miles), making it the world's second-largest country by total area. Its southern and western border with the United States, stretching 8,891 kilometres (5,525 mi), is the world's longest bi-national land border. Canada's capital is Ottawa, and its three largest metropolitan areas are Toronto, Montreal, and Vancouver.
Indigenous peoples have continuously inhabited what is now Canada for thousands of years. Beginning in the 16th century, British and French expeditions explored and later settled along the Atlantic coast. As a consequence of various armed conflicts, France ceded nearly all of its colonies in North America in 1763. In 1867, with the union of three British North American colonies through Confederation, Canada was formed as a federal dominion of four provinces. This began an accretion of provinces and territories and a process of increasing autonomy from the United Kingdom. This widening autonomy was highlighted by the Statute of Westminster 1931 and culminated in the Canada Act 1982, which severed the vestiges of legal dependence on the British Parliament.
Canada is a parliamentary democracy and a constitutional monarchy in the Westminster tradition. The country's head of government is the prime minister—who holds office by virtue of their ability to command the confidence of the elected House of Commons—and is appointed by the governor general, representing the monarch, who serves as head of state. The country is a Commonwealth realm and is officially bilingual at the federal level. It ranks among the highest in international measurements of government transparency, civil liberties, quality of life, economic freedom, and education. It is one of the world's most ethnically diverse and multicultural nations, the product of large-scale immigration from many other countries. Canada's long relationship with the United States has had a significant impact on its economy and culture.
A highly developed country, Canada has the seventeenth-highest nominal per-capita income globally and the sixteenth-highest ranking in the Human Development Index. Its advanced economy is the tenth-largest in the world, relying chiefly upon its abundant natural resources and well-developed international trade networks. Canada is part of several major international and intergovernmental institutions or groupings including the United Nations, NATO, the G7, the Group of Ten, the G20, the Organisation for Economic Co-operation and Development (OECD), the World Trade Organization (WTO), the Commonwealth of Nations, the Arctic Council, the Organisation internationale de la Francophonie, the Asia-Pacific Economic Cooperation forum, and the Organization of American States."
560,Repetitive strain injury,"Drinking water, also known as potable water, is water that is safe to drink or use for food preparation. The amount of drinking water required to maintain good health varies, and depends on physical activity level, age, health-related issues, and environmental conditions. For those who work in a hot climate, up to 16 litres (4.2 US gal) a day may be required.Typically in developed countries, tap water meets drinking water quality standards, even though only a small proportion is actually consumed or used in food preparation. Other typical uses include washing, toilets, and irrigation. Greywater may also be used for toilets or irrigation. Its use for irrigation however may be associated with risks. Water may also be unacceptable due to levels of toxins or suspended solids.
Globally, by 2015, 89% of people had access to water from a source that is suitable for drinking – called improved water source. In Sub-Saharan Africa, access to potable water ranged from 40% to 80% of the population. Nearly 4.2 billion people worldwide had access to tap water, while another 2.4 billion had access to wells or public taps. The World Health Organization considers access to safe drinking-water a basic human right.
About 1 to 2 billion people lack safe drinking water. More people die from unsafe water than from war, then-U.N. Secretary-General Ban Ki-moon said in 2010."
561,Digital redlining,"Health physics, also referred to as the science of radiation protection, is the profession devoted to protecting people and their environment from potential radiation hazards, while making it possible to enjoy the beneficial uses of radiation. Health physicists normally require a four-year bachelor’s degree and qualifying experience that demonstrates a professional knowledge of the theory and application of radiation protection principles and closely related sciences. Health physicists principally work at facilities where radionuclides or other sources of ionizing radiation (such as X-ray generators) are used or produced; these include research, industry, education, medical facilities, nuclear power, military, environmental protection, enforcement of government regulations, and decontamination and decommissioning—the combination of education and experience for health physicists depends on the specific field in which the health physicist is engaged.

"
562,Canada,"The Chief Medical Officer is the principal health advisor to the Australian government. The position is a medical appointment, reporting to the Departmental secretary for the Department of Health.  The position is responsible for the Office of Health Protection which itself has responsibility for biosecurity, immunisation and disease surveillance. The position is also responsible for ""maintaining high-quality relationships between the department, the medical profession, medical colleges, universities and other key stakeholders"". Other responsibilities of the position vary according to the skills and background of the officeholder. The position was originally created in November 1982 because the newly appointed Director-General of Health was not a doctor. The position is an advisory in nature and does not have executive or operational authority.As of 22 December 2020, the Chief Medical Officer is Paul Kelly, succeeding Brendan Murphy who became Secretary of the Department of Health.As of 23 January 2021, the joint Deputy Chief Medical Officers are Nick Coatsworth, Ruth Vine and Michael Kidd.In May 2020, psychiatrist Ruth Vin was appointed the first Deputy Chief Medical Officer for Mental health.Previous officers include John Horvath in 2003, Jim Bishop in 2009, and Chris Baggoley from August 2011 until 2016. The role has recently been focused on immigration and related health issues, as well as the ongoing COVID-19 pandemic. The position is head of the Australian Health Protection Principal Committee and in that role an adviser to the National Cabinet of Australia, created in response to the pandemic."
563,Clean drinking water,"Poverty in South Korea has been in drastic decline since the mid-20th century, particularly the absolute poverty rate. Relative poverty was also in decline until the late 1990s, but has risen since then. While only about 2% of South Koreans are affected by absolute poverty today, about 14-15% of these 2% are elderly and are affected by relative poverty.

"
564,Health physics,"The public medical services of Ivory Coast are more important than the small number of private physicians and clinics. As of 2004, there were an estimated 9 physicians, 31 nurses, and 15 midwives per 100,000 people. About 77 percent of the population had access to safe water in 2000. Total health care expenditures were estimated at 3.7 percent of GDP.

"
565,Chief Medical Officer,"Motor neuron diseases or motor neurone diseases (MNDs) are a group of rare neurodegenerative disorders that selectively affect motor neurons, the cells which control voluntary muscles of the body. They include amyotrophic lateral sclerosis (ALS), progressive bulbar palsy (PBP), pseudobulbar palsy, progressive muscular atrophy (PMA), primary lateral sclerosis (PLS), spinal muscular atrophy (SMA) and monomelic amyotrophy (MMA), as well as some rarer variants resembling ALS.
Motor neuron diseases affect both children and adults. While each motor neuron disease affects patients differently, they all cause movement-related symptoms, mainly muscle weakness. Most of these diseases seem to occur randomly without known causes, but some forms are inherited. Studies into these inherited forms have led to discoveries of various genes (e.g. SOD1) that are thought to be important in understanding how the disease occurs.Symptoms of motor neuron diseases can be first seen at birth or can come on slowly later in life. Most of these diseases worsen over time; while some, such as ALS, shorten one's life expectancy, others do not. Currently, there are no approved treatments for the majority of motor neuron disorders, and care is mostly symptomatic."
566,Poverty in South Korea,"Acrodynia is a condition of pain and dusky pink discoloration in the hands and feet most often seen in children chronically exposed to heavy metals, especially mercury.
The word acrodynia is derived from the Greek word ακρος, which means end or extremity, and οδυνη, which means pain. As such, it might be (erroneously) used to indicate that a patient has pain in the hands or feet. However, acrodynia is a disease rather than a symptom. The condition is known by various other names including pink disease, hydrargyria, mercurialism, erythredema, erythredema polyneuropathy, Bilderbeck's, Selter's, Swift's and Swift-Feer disease."
567,Public health in Ivory Coast,"Legitimation or legitimisation is the act of providing legitimacy.  Legitimation in the social sciences refers to the process whereby an act, process, or ideology becomes legitimate by its attachment to norms and values within a given society. It is the process of making something acceptable and normative to a group or audience.
Legitimate power is the right to exercise control over others by virtue of the authority of one's superior organization position or status."
568,Motor neurone disease (MND),"Climate change includes both global warming driven by human-induced emissions of greenhouse gases and the resulting large-scale shifts in weather patterns. Though there have been previous periods of climatic change, since the mid-20th century humans have had an unprecedented impact on Earth's climate system and caused change on a global scale.The largest driver of warming is the emission of gases that create a greenhouse effect, of which more than 90% are carbon dioxide (CO2) and methane. Fossil fuel burning (coal, oil, and natural gas) for energy consumption is the main source of these emissions, with additional contributions from agriculture, deforestation, and manufacturing. The human cause of climate change is not disputed by any scientific body of national or international standing. Temperature rise is accelerated or tempered by climate feedbacks, such as loss of sunlight-reflecting snow and ice cover, increased water vapour (a greenhouse gas itself), and changes to land and ocean carbon sinks.
Temperature rise on land is about twice the global average increase, leading to desert expansion and more common heat waves and wildfires. Temperature rise is also amplified in the Arctic, where it has contributed to melting permafrost, glacial retreat and sea ice loss. Warmer temperatures are increasing rates of evaporation, causing more intense storms and weather extremes. Impacts on ecosystems include the relocation or extinction of many species as their environment changes, most immediately in coral reefs, mountains, and the Arctic. Climate change threatens people with food insecurity, water scarcity, flooding, infectious diseases, extreme heat, economic losses, and displacement. These human impacts have led the World Health Organization to call climate change the greatest threat to global health in the 21st century. Even if efforts to minimise future warming are successful, some effects will continue for centuries, including rising sea levels, rising ocean temperatures, and ocean acidification.

Many of these impacts are already felt at the current level of warming, which is about 1.2 °C (2.2 °F). The Intergovernmental Panel on Climate Change (IPCC) has issued a series of reports that project significant increases in these impacts as warming continues to 1.5 °C (2.7 °F) and beyond. Additional warming also increases the risk of triggering critical thresholds called tipping points. Responding to these impacts involves both mitigation and adaptation. Mitigation – limiting climate change – consists of reducing greenhouse gas emissions and removing them from the atmosphere. Methods to achieve this include the development and deployment of low-carbon energy sources such as wind and solar, a phase-out of coal, enhanced energy efficiency, and forest preservation. Adaptation consists of adjusting to actual or expected climate, such as through improved coastline protection, better disaster management, assisted colonisation, and the development of more resistant crops. Adaptation alone cannot avert the risk of ""severe, widespread and irreversible"" impacts.Under the 2015 Paris Agreement, nations collectively agreed to keep warming ""well under 2.0 °C (3.6 °F)"" through mitigation efforts. However, with pledges made under the Agreement, global warming would still reach about 2.8 °C (5.0 °F) by the end of the century. Limiting warming to 1.5 °C (2.7 °F) would require halving emissions by 2030 and achieving near-zero emissions by 2050."
569,Acrodynia,"Cuba has had a socialist political system since 1959 based on the ""one state – one party"" principle. Cuba is constitutionally defined as a Marxist–Leninist socialist state guided in part by the political ideas of Karl Marx, one of the fathers of historical materialism, Friedrich Engels, and Vladimir Lenin. Despite being regarded as a one-party Communist state, the Cuban nationalist ideology of José Martí is what serves as the main source of influence in Cuban politics. The present Constitution of Cuba, which was passed in a 2019 referendum, also describes the role of the Communist Party of Cuba to be the ""leading force of society and of the state"" and as having the capability of setting national policy. The 2019 Constitution of Cuba identifies the ideals represented by Cuban independence hero José Martí and revolutionary leader Fidel Castro as the primary foundation of Cuba's political system, while also stressing the importance of the influence of the ideas of Marx, Engels, and Lenin.The President of Cuba and First Secretary of the Communist Party of Cuba is Miguel Díaz-Canel, who succeeded Raúl Castro in 2021. Díaz-Canel is the first ruler of Communist Cuba to not hail from the family of Fidel or Raúl Castro. Executive power is exercised by the government, which is represented by the Council of State and the Council of Ministers. Legislative power is exercised through the unicameral National Assembly of People's Power, which is constituted as the maximum authority of the state. With effect from 10 October 2019, Miguel Díaz-Canel is the president and Manuel Marrero is the Prime Minister of Cuba. The previous president of the State Council was Raúl Castro, brother of former leader Fidel Castro; Raúl Castro remained First Secretary of the Communist Party of Cuba, and Commander-in-Chief of the Revolutionary Armed Forces until 19 April 2021. Fidel Castro ruled from 1959 to 2006, before illness forced him to hand power to his brother. Esteban Lazo Hernández is the president of the National Assembly.
Political scientists characterize the political system of Cuba as non-democratic and authoritarian. It is a single-party authoritarian regime where political opposition is not permitted and all forms of dissidence are repressed. There are elections in Cuba but they are not democratic. Censorship of information (including limits to internet access) is extensive, and independent journalism is repressed in Cuba; Reporters Without Borders has characterized Cuba as one of the worst countries in the world for press freedom. According to human right groups, human rights violations are systematic and severe."
570,Legitimation,"A coma is a deep state of prolonged unconsciousness in which a person cannot be awakened, fails to respond normally to painful stimuli, light, or sound, lacks a normal wake-sleep cycle and does not initiate voluntary actions. Coma patients exhibit a complete absence of wakefulness and are unable to consciously feel, speak or move. Comas can be derived by natural causes, or can be medically induced.
Clinically, a coma can be defined as the inability consistently to follow a one-step command. It can also be defined as a score of ≤ 8 on the Glasgow Coma Scale (GCS) lasting ≥ 6 hours. For a patient to maintain consciousness, the components of wakefulness and awareness must be maintained. Wakefulness describes the quantitative degree of consciousness, whereas awareness relates to the qualitative aspects of the functions mediated by the cortex, including cognitive abilities such as attention, sensory perception, explicit memory, language, the execution of tasks, temporal and spatial orientation and reality judgment. From a neurological perspective, consciousness is maintained by the activation of the cerebral cortex—the gray matter that forms the outer layer of the brain and by the reticular activating system (RAS), a structure located within the brainstem."
571,Climate change,"The Phlebotominae are a subfamily of the family Psychodidae. In several countries, their common name is sandfly; but that name is also applied to other flies known as sandflies. The Phlebotominae include many genera of blood-feeding (hematophagous) flies, including the primary vectors of leishmaniasis, bartonellosis and pappataci fever. In the New World, leishmaniasis is spread by sand flies in the genus Lutzomyia, which commonly live in caves, where their main hosts are bats.  In the Old World, sand flies in the genus Phlebotomus spread leishmaniasis.
Phlebotomine females, and only females, suck blood from various mammals, reptiles and birds. Some species are selective, whereas others bite any suitable host they find. Some species can produce one clutch of eggs before their first blood meal; such females are said to practise autogenous or partly autogenous reproduction. Other species need a blood meal before they can produce any eggs at all; they are said to practise anautogenous reproduction. As far as is known, all species need a blood meal for every following clutch of eggs. Proteins and other nutrients in the blood they eat enable the female to produce the proteins and fats necessary for them to produce eggs after using up their bodily food stores.  In feeding on blood, the flies use their mouthparts to start the host bleeding. They then suck up the exposed blood.  Like practically all blood-feeding parasites, they inject biochemicals that inhibit blood clotting, plus some that stimulate host mast cells to produce histamine; this distends capillary vessels, thereby promoting blood flow.
One blood meal can support the production of about 100 eggs. Females lay their eggs in humid soil rich in organic matter. Laboratory colonies of various phlebotomine sand flies species have been established for experimental study.Sand flies are small; a body size of about 3mm in length is typical for many species, which aids them in escaping notice. Their bite is not always felt, but leaves a small round, reddish bump that starts itching hours or days later.  Use of insect repellent is recommended in areas where sand flies are present."
572,Cuban government,"Coal workers' pneumoconiosis (CWP), also known as black lung disease or black lung, is caused by long-term exposure to coal dust. It is common in coal miners and others who work with coal. It is similar to both silicosis from inhaling silica dust and asbestosis from inhaling asbestos dust.  Inhaled coal dust progressively builds up in the lungs and leads to inflammation, fibrosis, and in worse cases, necrosis.
Coal workers' pneumoconiosis, severe state, develops after the initial, milder form of the disease known as anthracosis (from the Greek άνθρακας, or anthracas —coal, carbon). This is often asymptomatic and is found to at least some extent in all urban dwellers due to air pollution. Prolonged exposure to large amounts of coal dust can result in more serious forms of the disease, simple coal workers' pneumoconiosis and complicated coal workers' pneumoconiosis (or progressive massive fibrosis, or PMF). More commonly, workers exposed to coal dust develop industrial bronchitis, clinically defined as chronic bronchitis (i.e. productive cough for 3 months per year for at least 2 years) associated with workplace dust exposure. The incidence of industrial bronchitis varies with age, job, exposure, and smoking. In nonsmokers (who are less prone to develop bronchitis than smokers), studies of coal miners have shown a 16% to 17% incidence of industrial bronchitis.
In 2013 CWP resulted in 25,000 deaths globally—down from 29,000 deaths in 1990. However, a later 2018 study by the National Institute of Occupational Safety and Health shows a resurgence of the incurable respiratory illness, the highest rate recorded in roughly two decades."
573,Coma,"An ethnic group or ethnicity is a grouping of people who identify with each other on the basis of shared attributes that distinguish them from other groups such as a common set of traditions, ancestry, language, history, society, culture, nation, religion, or social treatment within their residing area. Ethnicity is sometimes used interchangeably with the term nation, particularly in cases of ethnic nationalism, and is separate from, but related to the concept of races.
Ethnicity can be an inherited status or based on the society within which one lives. Membership of an ethnic group tends to be defined by a shared cultural heritage, ancestry, origin myth, history, homeland, language, or dialect, symbolic systems such as religion, mythology and ritual, cuisine, dressing style, art, or physical appearance. Moreover, ethnic groups are also defined by genetics. Ethnic groups often continue to speak related languages. 
By way of language shift, acculturation, adoption and religious conversion, individuals or groups may over time shift from one ethnic group to another. Ethnic groups may be subdivided into subgroups or tribes, which over time may become separate ethnic groups themselves due to endogamy or physical isolation from the parent group. Conversely, formerly separate ethnicities can merge to form a pan-ethnicity and may eventually merge into one single ethnicity. Whether through division or amalgamation, the formation of a separate ethnic identity is referred to as ethnogenesis.
The nature of ethnicity is still debated by scholars. 'Primordialists' view ethnic groups as real phenomena whose distinct characteristics have endured since the distant past. Others view ethnic groups as a social construct, an identity which is assigned based on rules made by society."
574,Phlebotominae,"In economics, utility is the satisfaction or benefit derived by consuming a product; thus the marginal utility of a good or service is the change in the utility from an increase in the consumption of that good or service.
In the context of cardinal utility, economists sometimes speak of a law of diminishing marginal utility, meaning that the first unit of consumption of a good or service yields more utility than the second and subsequent units, with a continuing reduction for greater amounts. Therefore, the fall in marginal utility as consumption increases is known as diminishing marginal utility. This concept is used by economists to determine how much of a good a consumer is willing to purchase.

"
575,Coalworker's pneumoconiosis,"Xerostomia, also known as dry mouth, is dryness in the mouth, which may be associated with a change in the composition of saliva, or reduced salivary flow, or have no identifiable cause.
This symptom is very common and is often seen as a side effect of many types of medication. It is more common in older people (mostly because this group tend to take several medications) and in persons who breathe through their mouths. Dehydration, radiotherapy involving the salivary glands, chemotherapy and several diseases can cause reduced salivation (hyposalivation), or a change in saliva consistency and hence a complaint of xerostomia. Sometimes there is no identifiable cause, and there may sometimes be a psychogenic reason for the complaint."
